wallet_address,total_tx,duration_days,tx_per_day,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,repay_ratio,redeem_ratio,num_liquidations,num_deposits,num_borrows,num_repays,num_redeems,active_days,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,1.0,1987663654.8592715,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x00000000001accfa9cef68cf5371a23025b6d4b6    1
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x00000000001accfa9cef68cf5371a23025b6d4b6    1
Name: active_days, dtype: int64",610.0
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,1.0,2.8569448036149268e+20,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x000000000051d07a4fb3bd10121a343d85818da6    1
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x000000000051d07a4fb3bd10121a343d85818da6    1
Name: active_days, dtype: int64",610.0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,8,0.25,5152310624158186.0,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x000000000096026fb41fc39f9875d164bd82e2dc    2
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x000000000096026fb41fc39f9875d164bd82e2dc    2
Name: active_days, dtype: int64",602.5
0x0000000000e189dd664b9ab08a33c4839953852c,17,130,0.1307692307692307,0.0,0.0,0.0,9.803600316664596e+20,1.0,1.0,0,"Series([], Name: num_deposits, dtype: int64)","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","wallet_address
0x0000000000e189dd664b9ab08a33c4839953852c    17
Name: num_redeems, dtype: int64","wallet_address
0x0000000000e189dd664b9ab08a33c4839953852c    14
Name: active_days, dtype: int64",301.3076923076923
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,133,3.0,2.0657733084285225e+23,6.029762086214079e+22,70150263790.74077,1.1287452027976198e+23,1.1634001937012773e-12,0.5464032273978214,0,"wallet_address
0x0000000002032370b971dabd36d72f3e5a7bf1ee    250
Name: num_deposits, dtype: int64","wallet_address
0x0000000002032370b971dabd36d72f3e5a7bf1ee    15
Name: num_borrows, dtype: int64","wallet_address
0x0000000002032370b971dabd36d72f3e5a7bf1ee    4
Name: num_repays, dtype: int64","wallet_address
0x0000000002032370b971dabd36d72f3e5a7bf1ee    130
Name: num_redeems, dtype: int64","wallet_address
0x0000000002032370b971dabd36d72f3e5a7bf1ee    399
Name: active_days, dtype: int64",875.3596772601015
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,40,0.625,1.839066568601052e+22,11631431210.321323,11640280239.622171,4.617415427863044e+21,1.0,0.2510738603320617,0,"wallet_address
0x000000000a38444e0a6e37d3b630d7e855a7cb13    7
Name: num_deposits, dtype: int64","wallet_address
0x000000000a38444e0a6e37d3b630d7e855a7cb13    8
Name: num_borrows, dtype: int64","wallet_address
0x000000000a38444e0a6e37d3b630d7e855a7cb13    5
Name: num_repays, dtype: int64","wallet_address
0x000000000a38444e0a6e37d3b630d7e855a7cb13    5
Name: num_redeems, dtype: int64","wallet_address
0x000000000a38444e0a6e37d3b630d7e855a7cb13    25
Name: active_days, dtype: int64",781.1426139667939
0x000000003853fcedcd0355fec98ca3192833f00b,8,8,1.0,7.6376315604972e+16,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x000000003853fcedcd0355fec98ca3192833f00b    8
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x000000003853fcedcd0355fec98ca3192833f00b    8
Name: active_days, dtype: int64",610.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,124,3.967741935483871,4.585861982762907e+23,1.3241576090263831e+23,3.398128730609447e+20,2.995389076276758e+23,0.0025662569979928,0.6531790724482478,0,"wallet_address
0x000000003ce0cf2c037493b1dc087204bd7f713e    309
Name: num_deposits, dtype: int64","wallet_address
0x000000003ce0cf2c037493b1dc087204bd7f713e    30
Name: num_borrows, dtype: int64","wallet_address
0x000000003ce0cf2c037493b1dc087204bd7f713e    16
Name: num_repays, dtype: int64","wallet_address
0x000000003ce0cf2c037493b1dc087204bd7f713e    137
Name: num_redeems, dtype: int64","wallet_address
0x000000003ce0cf2c037493b1dc087204bd7f713e    490
Name: active_days, dtype: int64",874.1028864102145
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,1.0,1.4216066648145406e+17,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x000000007858e6f2668e1e06111cfa24403a5466    1
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x000000007858e6f2668e1e06111cfa24403a5466    1
Name: active_days, dtype: int64",610.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,1.0,1766652.5037857387,0.0,0.0,0.0,1.0,0.0,0,"wallet_address
0x00000001a0f57e850c9db68b4a9bc34677437c5c    1
Name: num_deposits, dtype: int64","Series([], Name: num_borrows, dtype: int64)","Series([], Name: num_repays, dtype: int64)","Series([], Name: num_redeems, dtype: int64)","wallet_address
0x00000001a0f57e850c9db68b4a9bc34677437c5c    1
Name: active_days, dtype: int64",610.0
